,rental_id,rental_date,customer_id,customer_name,city,country,film_id,film_title,category,length,store_id,staff_id,staff_name,payment_amount,payment_date,rental_duration,gap
5179,11367,2005-08-02 18:01:38,1,Mary Smith,Sasebo,Japan,315,Finding Anaconda,Family,156,1,1,Mike Hillyer,0.99,2007-03-02 16:30:04.996577,1.0,0.0
5180,11824,2005-08-17 12:37:54,1,Mary Smith,Sasebo,Japan,579,Minds Truman,Action,149,1,2,Jon Stephens,4.99,2007-03-17 11:06:20.996577,1.0,14.0
5181,12250,2005-08-18 03:57:29,1,Mary Smith,Sasebo,Japan,204,Dalmations Sweden,Drama,106,1,1,Mike Hillyer,0.99,2007-03-18 02:25:55.996577,4.0,0.0
5182,13068,2005-08-19 09:55:16,1,Mary Smith,Sasebo,Japan,663,Patient Sister,Classics,99,1,2,Jon Stephens,0.99,2007-03-19 08:23:42.996577,1.0,1.0
5183,13176,2005-08-19 13:56:54,1,Mary Smith,Sasebo,Japan,490,Jumanji Blade,New,121,1,2,Jon Stephens,2.99,2007-03-19 12:25:20.996577,3.0,0.0
5184,14762,2005-08-21 23:33:57,1,Mary Smith,Sasebo,Japan,924,Unforgiven Zoolander,Sci-Fi,129,1,1,Mike Hillyer,0.99,2007-03-21 22:02:23.996577,1.0,2.0
5185,14825,2005-08-22 01:27:57,1,Mary Smith,Sasebo,Japan,317,Fireball Philadelphia,Comedy,148,1,2,Jon Stephens,1.99,2007-03-21 23:56:23.996577,5.0,0.0
5186,15298,2005-08-22 19:41:37,1,Mary Smith,Sasebo,Japan,317,Fireball Philadelphia,Comedy,148,1,1,Mike Hillyer,2.99,2007-03-22 18:10:03.996577,6.0,0.0
5187,15315,2005-08-22 20:03:46,1,Mary Smith,Sasebo,Japan,70,Bikini Borrowers,Animation,142,1,2,Jon Stephens,5.99,2007-03-22 18:32:12.996577,7.0,0.0
999,2128,2005-06-17 20:54:58,2,Patricia Johnson,San Bernardino,United States,78,Blackout Private,Animation,85,1,2,Jon Stephens,2.99,2007-02-17 19:23:24.996577,6.0,
11502,5636,2005-07-10 06:31:24,2,Patricia Johnson,San Bernardino,United States,895,Tomorrow Hustler,Classics,142,1,1,Mike Hillyer,2.99,2007-04-10 04:59:50.996577,2.0,22.0
11503,5755,2005-07-10 12:38:56,2,Patricia Johnson,San Bernardino,United States,606,Mummy Creatures,Sports,160,1,1,Mike Hillyer,6.99,2007-04-10 11:07:22.996577,9.0,0.0
11504,7346,2005-07-27 14:30:42,2,Patricia Johnson,San Bernardino,United States,162,Clueless Bucket,Action,95,1,1,Mike Hillyer,4.99,2007-04-27 12:59:08.996577,6.0,17.0
11505,7376,2005-07-27 15:23:02,2,Patricia Johnson,San Bernardino,United States,109,Butterfly Chocolat,New,89,1,2,Jon Stephens,5.99,2007-04-27 13:51:28.996577,7.0,0.0
11506,7459,2005-07-27 18:40:20,2,Patricia Johnson,San Bernardino,United States,446,Hysterical Grail,Sports,150,1,2,Jon Stephens,5.99,2007-04-27 17:08:46.996577,6.0,0.0
11507,8230,2005-07-29 00:12:59,2,Patricia Johnson,San Bernardino,United States,421,Holiday Games,Foreign,78,1,2,Jon Stephens,5.99,2007-04-28 22:41:25.996577,8.0,1.0
11508,8598,2005-07-29 12:56:59,2,Patricia Johnson,San Bernardino,United States,136,Chaplin License,New,146,1,2,Jon Stephens,2.99,2007-04-29 11:25:25.996577,2.0,0.0
11509,8705,2005-07-29 17:14:29,2,Patricia Johnson,San Bernardino,United States,879,Telegraph Voyage,Music,148,1,1,Mike Hillyer,5.99,2007-04-29 15:42:55.996577,3.0,0.0
11510,9031,2005-07-30 06:06:10,2,Patricia Johnson,San Bernardino,United States,518,Liaisons Sweet,Travel,140,1,2,Jon Stephens,4.99,2007-04-30 04:34:36.996577,5.0,0.0
11512,9248,2005-07-30 14:14:11,2,Patricia Johnson,San Bernardino,United States,303,Fantasy Troopers,Action,58,1,1,Mike Hillyer,0.99,2007-04-30 12:42:37.996577,5.0,0.0
11513,9296,2005-07-30 16:21:13,2,Patricia Johnson,San Bernardino,United States,891,Timberland Sky,Classics,69,1,1,Mike Hillyer,6.99,2007-04-30 14:49:39.996577,8.0,0.0
11514,9465,2005-07-30 22:39:53,2,Patricia Johnson,San Bernardino,United States,678,Pickup Driving,Sports,77,1,2,Jon Stephens,6.99,2007-04-30 21:08:19.996577,6.0,0.0
11515,10136,2005-07-31 21:58:56,2,Patricia Johnson,San Bernardino,United States,690,Pond Seattle,Animation,185,1,1,Mike Hillyer,2.99,2007-04-30 20:27:22.996577,2.0,0.0
5188,10466,2005-08-01 09:45:26,2,Patricia Johnson,San Bernardino,United States,27,Anonymous Human,Sports,179,1,1,Mike Hillyer,0.99,2007-03-01 08:13:52.996577,4.0,0.0
5189,10918,2005-08-02 02:10:56,2,Patricia Johnson,San Bernardino,United States,748,Rugrats Shakespeare,Action,109,1,1,Mike Hillyer,0.99,2007-03-02 00:39:22.996577,0.0,0.0
5190,11087,2005-08-02 07:41:41,2,Patricia Johnson,San Bernardino,United States,142,Chicken Hellfighters,Documentary,122,1,2,Jon Stephens,5.99,2007-03-02 06:10:07.996577,8.0,0.0
5191,11177,2005-08-02 10:43:48,2,Patricia Johnson,San Bernardino,United States,254,Driver Annie,Sports,159,1,2,Jon Stephens,6.99,2007-03-02 09:12:14.996577,8.0,0.0
5192,11256,2005-08-02 13:44:53,2,Patricia Johnson,San Bernardino,United States,447,Ice Crossing,Games,131,1,1,Mike Hillyer,2.99,2007-03-02 12:13:19.996577,2.0,0.0
5193,11614,2005-08-17 03:52:18,2,Patricia Johnson,San Bernardino,United States,175,Confused Candles,Family,122,1,1,Mike Hillyer,2.99,2007-03-17 02:20:44.996577,3.0,14.0
5194,12963,2005-08-19 06:26:04,2,Patricia Johnson,San Bernardino,United States,331,Forward Temple,Games,90,1,2,Jon Stephens,2.99,2007-03-19 04:54:30.996577,4.0,2.0
5195,14475,2005-08-21 13:24:32,2,Patricia Johnson,San Bernardino,United States,694,Prejudice Oleander,Classics,98,1,2,Jon Stephens,4.99,2007-03-21 11:52:58.996577,5.0,2.0
5196,14743,2005-08-21 22:41:56,2,Patricia Johnson,San Bernardino,United States,999,Zoolander Fiction,Children,101,1,1,Mike Hillyer,5.99,2007-03-21 21:10:22.996577,7.0,0.0
5197,15145,2005-08-22 13:53:04,2,Patricia Johnson,San Bernardino,United States,471,Island Exorcist,Classics,84,1,1,Mike Hillyer,4.99,2007-03-22 12:21:30.996577,9.0,0.0
5198,15907,2005-08-23 17:39:35,2,Patricia Johnson,San Bernardino,United States,637,Open African,Sci-Fi,131,1,1,Mike Hillyer,4.99,2007-03-23 16:08:01.996577,2.0,1.0
1000,1546,2005-06-16 01:34:05,3,Linda Williams,Athenai,Greece,854,Strangers Graffiti,Horror,119,1,1,Mike Hillyer,8.99,2007-02-16 00:02:31.996577,8.0,
1001,1726,2005-06-16 15:19:10,3,Linda Williams,Athenai,Greece,23,Anaconda Confessions,Animation,92,1,2,Jon Stephens,6.99,2007-02-16 13:47:36.996577,8.0,0.0
1002,1911,2005-06-17 05:15:15,3,Linda Williams,Athenai,Greece,202,Daddy Pittsburgh,Comedy,161,1,2,Jon Stephens,6.99,2007-02-17 03:43:41.996577,7.0,0.0
1003,2628,2005-06-19 08:34:53,3,Linda Williams,Athenai,Greece,855,Streak Ridgemont,Documentary,132,1,2,Jon Stephens,2.99,2007-02-19 07:03:19.996577,8.0,2.0
11516,4180,2005-07-07 10:23:25,3,Linda Williams,Athenai,Greece,371,Gosford Donnie,Action,129,1,1,Mike Hillyer,4.99,2007-04-07 08:51:51.996577,3.0,18.0
11517,4725,2005-07-08 12:47:11,3,Linda Williams,Athenai,Greece,447,Ice Crossing,Games,131,1,2,Jon Stephens,4.99,2007-04-08 11:15:37.996577,6.0,1.0
11518,7096,2005-07-27 04:54:42,3,Linda Williams,Athenai,Greece,563,Massacre Usual,Games,165,1,2,Jon Stephens,5.99,2007-04-27 03:23:08.996577,6.0,18.0
11520,7703,2005-07-28 03:59:21,3,Linda Williams,Athenai,Greece,464,Intentions Empire,Animation,107,1,1,Mike Hillyer,7.99,2007-04-28 02:27:47.996577,8.0,0.0
11521,7724,2005-07-28 04:46:30,3,Linda Williams,Athenai,Greece,77,Birds Perdition,New,61,1,1,Mike Hillyer,6.99,2007-04-28 03:14:56.996577,7.0,0.0
11522,7911,2005-07-28 11:46:45,3,Linda Williams,Athenai,Greece,86,Boogie Amelie,Music,121,1,1,Mike Hillyer,4.99,2007-04-28 10:15:11.996577,0.0,0.0
11523,8086,2005-07-28 18:17:14,3,Linda Williams,Athenai,Greece,263,Durham Panky,Sports,154,1,2,Jon Stephens,4.99,2007-04-28 16:45:40.996577,2.0,0.0
11524,8545,2005-07-29 11:07:04,3,Linda Williams,Athenai,Greece,717,Rear Trading,Action,97,1,2,Jon Stephens,2.99,2007-04-29 09:35:30.996577,8.0,0.0
11525,9226,2005-07-30 13:31:20,3,Linda Williams,Athenai,Greece,940,Victory Academy,Sports,64,1,1,Mike Hillyer,1.99,2007-04-30 11:59:46.996577,7.0,1.0
11526,9443,2005-07-30 21:45:46,3,Linda Williams,Athenai,Greece,366,Goldfinger Sensibility,Drama,93,1,1,Mike Hillyer,3.99,2007-04-30 20:14:12.996577,5.0,0.0
11527,9595,2005-07-31 03:27:58,3,Linda Williams,Athenai,Greece,621,Network Peak,Family,75,1,1,Mike Hillyer,2.99,2007-04-30 01:56:24.996577,3.0,0.0
11528,9816,2005-07-31 11:32:58,3,Linda Williams,Athenai,Greece,995,Yentl Idaho,Horror,86,1,2,Jon Stephens,4.99,2007-04-30 10:01:24.996577,4.0,0.0
5199,10597,2005-08-01 14:19:48,3,Linda Williams,Athenai,Greece,725,Requiem Tycoon,Classics,167,1,1,Mike Hillyer,5.99,2007-03-01 12:48:14.996577,7.0,1.0
5200,12556,2005-08-18 14:49:55,3,Linda Williams,Athenai,Greece,433,Horn Working,Animation,95,1,2,Jon Stephens,4.99,2007-03-18 13:18:21.996577,6.0,17.0
5201,13403,2005-08-19 22:18:07,3,Linda Williams,Athenai,Greece,711,Raging Airplane,Sci-Fi,154,1,1,Mike Hillyer,8.99,2007-03-19 20:46:33.996577,7.0,1.0
5202,13610,2005-08-20 06:14:12,3,Linda Williams,Athenai,Greece,555,Mallrats United,Comedy,133,1,2,Jon Stephens,2.99,2007-03-20 04:42:38.996577,5.0,0.0
5203,14699,2005-08-21 20:50:48,3,Linda Williams,Athenai,Greece,312,Fiddler Lost,Sci-Fi,75,1,2,Jon Stephens,8.99,2007-03-21 19:19:14.996577,7.0,1.0
5204,15038,2005-08-22 09:37:27,3,Linda Williams,Athenai,Greece,367,Goldmine Tycoon,Sci-Fi,153,1,1,Mike Hillyer,0.99,2007-03-22 08:05:53.996577,1.0,0.0
5205,15619,2005-08-23 07:10:14,3,Linda Williams,Athenai,Greece,540,Lucky Flying,Music,97,1,2,Jon Stephens,2.99,2007-03-23 05:38:40.996577,3.0,0.0
1004,1297,2005-06-15 09:31:28,4,Barbara Jones,Myingyan,Myanmar,239,Dogma Family,Animation,122,2,1,Mike Hillyer,4.99,2007-02-15 07:59:54.996577,3.0,
1005,1633,2005-06-16 08:08:40,4,Barbara Jones,Myingyan,Myanmar,63,Bedazzled Married,Family,73,2,1,Mike Hillyer,0.99,2007-02-16 06:37:06.996577,1.0,0.0
1006,1707,2005-06-16 14:01:27,4,Barbara Jones,Myingyan,Myanmar,42,Artist Coldblooded,Sports,170,2,1,Mike Hillyer,2.99,2007-02-16 12:29:53.996577,1.0,0.0
1007,1735,2005-06-16 15:51:52,4,Barbara Jones,Myingyan,Myanmar,19,Amadeus Holy,Action,113,2,1,Mike Hillyer,0.99,2007-02-16 14:20:18.996577,3.0,0.0
1008,2043,2005-06-17 14:31:12,4,Barbara Jones,Myingyan,Myanmar,547,Magic Mallrats,Children,117,2,2,Jon Stephens,0.99,2007-02-17 12:59:38.996577,1.0,0.0
1009,2642,2005-06-19 09:39:01,4,Barbara Jones,Myingyan,Myanmar,448,Idaho Love,New,172,2,1,Mike Hillyer,5.99,2007-02-19 08:07:27.996577,5.0,1.0
11529,7660,2005-07-28 02:10:10,4,Barbara Jones,Myingyan,Myanmar,958,Wardrobe Phantom,Drama,178,2,2,Jon Stephens,2.99,2007-04-28 00:38:36.996577,2.0,38.0
11530,7718,2005-07-28 04:37:59,4,Barbara Jones,Myingyan,Myanmar,784,Shanghai Tycoon,Travel,47,2,2,Jon Stephens,2.99,2007-04-28 03:06:25.996577,1.0,0.0
11531,8741,2005-07-29 18:44:57,4,Barbara Jones,Myingyan,Myanmar,35,Arachnophobia Rollercoaster,Horror,147,2,2,Jon Stephens,3.99,2007-04-29 17:13:23.996577,4.0,1.0
11532,9100,2005-07-30 08:46:09,4,Barbara Jones,Myingyan,Myanmar,895,Tomorrow Hustler,Classics,142,2,1,Mike Hillyer,5.99,2007-04-30 07:14:35.996577,6.0,0.0
11533,9371,2005-07-30 18:58:00,4,Barbara Jones,Myingyan,Myanmar,653,Panic Club,Horror,102,2,1,Mike Hillyer,5.99,2007-04-30 17:26:26.996577,3.0,0.0
5206,11069,2005-08-02 07:09:34,4,Barbara Jones,Myingyan,Myanmar,11,Alamo Videotape,Foreign,126,2,1,Mike Hillyer,0.99,2007-03-02 05:38:00.996577,6.0,2.0
5207,11110,2005-08-02 08:20:31,4,Barbara Jones,Myingyan,Myanmar,939,Vertigo Northwest,Comedy,90,2,2,Jon Stephens,2.99,2007-03-02 06:48:57.996577,1.0,0.0
5208,11529,2005-08-17 00:28:01,4,Barbara Jones,Myingyan,Myanmar,676,Philadelphia Wife,Sports,137,2,2,Jon Stephens,4.99,2007-03-16 22:56:27.996577,2.0,14.0
5209,12151,2005-08-18 00:14:03,4,Barbara Jones,Myingyan,Myanmar,431,Hoosiers Birdcage,Foreign,176,2,2,Jon Stephens,2.99,2007-03-17 22:42:29.996577,0.0,0.0
5210,12294,2005-08-18 05:14:44,4,Barbara Jones,Myingyan,Myanmar,543,Madigan Dorado,Travel,116,2,2,Jon Stephens,8.99,2007-03-18 03:43:10.996577,8.0,0.0
5211,12856,2005-08-19 02:19:13,4,Barbara Jones,Myingyan,Myanmar,26,Annie Identity,Sci-Fi,86,2,2,Jon Stephens,1.99,2007-03-19 00:47:39.996577,4.0,0.0
5212,13704,2005-08-20 09:32:04,4,Barbara Jones,Myingyan,Myanmar,740,Rollercoaster Bringing,Horror,153,2,2,Jon Stephens,2.99,2007-03-20 08:00:30.996577,3.0,1.0
5213,13807,2005-08-20 12:55:40,4,Barbara Jones,Myingyan,Myanmar,837,Stage World,Comedy,85,2,2,Jon Stephens,6.99,2007-03-20 11:24:06.996577,7.0,0.0
5214,14225,2005-08-21 04:53:37,4,Barbara Jones,Myingyan,Myanmar,219,Deep Crusade,Documentary,51,2,2,Jon Stephens,4.99,2007-03-21 03:22:03.996577,4.0,0.0
5215,15147,2005-08-22 13:58:23,4,Barbara Jones,Myingyan,Myanmar,559,Married Go,Sci-Fi,114,2,2,Jon Stephens,2.99,2007-03-22 12:26:49.996577,6.0,1.0
5216,15635,2005-08-23 07:43:00,4,Barbara Jones,Myingyan,Myanmar,728,Reunion Witches,Drama,63,2,1,Mike Hillyer,1.99,2007-03-23 06:11:26.996577,4.0,0.0
1010,1502,2005-06-15 22:03:14,5,Elizabeth Brown,Nantou,Taiwan,722,Reef Salute,Horror,123,1,2,Jon Stephens,3.99,2007-02-15 20:31:40.996577,7.0,
1011,1631,2005-06-16 08:01:02,5,Elizabeth Brown,Nantou,Taiwan,539,Luck Opus,Drama,152,1,1,Mike Hillyer,2.99,2007-02-16 06:29:28.996577,3.0,0.0
1012,2063,2005-06-17 15:56:53,5,Elizabeth Brown,Nantou,Taiwan,941,Videotape Arsenic,Games,145,1,1,Mike Hillyer,4.99,2007-02-17 14:25:19.996577,3.0,1.0
1013,2570,2005-06-19 04:20:13,5,Elizabeth Brown,Nantou,Taiwan,245,Double Wrath,Animation,177,1,1,Mike Hillyer,2.99,2007-02-19 02:48:39.996577,6.0,1.0
1014,3126,2005-06-20 18:38:22,5,Elizabeth Brown,Nantou,Taiwan,263,Durham Panky,Sports,154,1,1,Mike Hillyer,4.99,2007-02-20 17:06:48.996577,5.0,1.0
11534,3677,2005-07-06 09:11:58,5,Elizabeth Brown,Nantou,Taiwan,131,Center Dinosaur,Classics,152,1,2,Jon Stephens,4.99,2007-04-06 07:40:24.996577,2.0,15.0
11535,4889,2005-07-08 20:04:43,5,Elizabeth Brown,Nantou,Taiwan,975,Willow Tracy,Family,137,1,2,Jon Stephens,2.99,2007-04-08 18:33:09.996577,4.0,2.0
11536,5016,2005-07-09 01:57:57,5,Elizabeth Brown,Nantou,Taiwan,408,Head Stranger,Games,69,1,1,Mike Hillyer,4.99,2007-04-09 00:26:23.996577,0.0,0.0
11537,5118,2005-07-09 07:13:52,5,Elizabeth Brown,Nantou,Taiwan,213,Date Speed,Family,104,1,2,Jon Stephens,5.99,2007-04-09 05:42:18.996577,8.0,0.0
11538,5156,2005-07-09 08:51:42,5,Elizabeth Brown,Nantou,Taiwan,91,Bound Cheaper,Classics,98,1,2,Jon Stephens,1.99,2007-04-09 07:20:08.996577,5.0,0.0
11539,5721,2005-07-10 11:09:35,5,Elizabeth Brown,Nantou,Taiwan,511,Lawrence Love,Action,175,1,2,Jon Stephens,0.99,2007-04-10 09:38:01.996577,7.0,1.0
11540,6042,2005-07-11 03:17:04,5,Elizabeth Brown,Nantou,Taiwan,465,Interview Liaisons,New,59,1,1,Mike Hillyer,8.99,2007-04-11 01:45:30.996577,8.0,0.0
11541,6663,2005-07-12 11:27:35,5,Elizabeth Brown,Nantou,Taiwan,951,Voyage Legally,Classics,78,1,1,Mike Hillyer,3.99,2007-04-12 09:56:01.996577,9.0,1.0
11542,6685,2005-07-12 12:16:28,5,Elizabeth Brown,Nantou,Taiwan,314,Fight Jawbreaker,Animation,91,1,1,Mike Hillyer,4.99,2007-04-12 10:44:54.996577,7.0,0.0
11543,7293,2005-07-27 12:37:28,5,Elizabeth Brown,Nantou,Taiwan,733,River Outlaw,Sports,149,1,2,Jon Stephens,0.99,2007-04-27 11:05:54.996577,3.0,15.0
11544,7652,2005-07-28 01:50:29,5,Elizabeth Brown,Nantou,Taiwan,18,Alter Victory,Animation,57,1,2,Jon Stephens,0.99,2007-04-28 00:18:55.996577,2.0,0.0
11545,7829,2005-07-28 08:43:39,5,Elizabeth Brown,Nantou,Taiwan,22,Amistad Midsummer,New,85,1,1,Mike Hillyer,3.99,2007-04-28 07:12:05.996577,7.0,0.0
11546,8263,2005-07-29 01:11:23,5,Elizabeth Brown,Nantou,Taiwan,6,Agent Truman,Foreign,169,1,2,Jon Stephens,2.99,2007-04-28 23:39:49.996577,2.0,0.0
11547,8978,2005-07-30 04:14:28,5,Elizabeth Brown,Nantou,Taiwan,155,Cleopatra Devil,New,150,1,1,Mike Hillyer,1.99,2007-04-30 02:42:54.996577,7.0,1.0
11548,9493,2005-07-30 23:52:30,5,Elizabeth Brown,Nantou,Taiwan,333,Freaky Pocus,Music,126,1,1,Mike Hillyer,4.99,2007-04-30 22:20:56.996577,8.0,0.0
11549,9888,2005-07-31 14:00:53,5,Elizabeth Brown,Nantou,Taiwan,962,Wasteland Divine,Classics,85,1,2,Jon Stephens,3.99,2007-04-30 12:29:19.996577,8.0,0.0
5217,10609,2005-08-01 14:48:45,5,Elizabeth Brown,Nantou,Taiwan,568,Memento Zoolander,Comedy,77,1,2,Jon Stephens,4.99,2007-03-01 13:17:11.996577,2.0,1.0
5218,10625,2005-08-01 15:27:10,5,Elizabeth Brown,Nantou,Taiwan,663,Patient Sister,Classics,99,1,1,Mike Hillyer,0.99,2007-03-01 13:55:36.996577,0.0,0.0
5219,11001,2005-08-02 04:56:45,5,Elizabeth Brown,Nantou,Taiwan,810,Slums Duck,Family,147,1,1,Mike Hillyer,4.99,2007-03-02 03:25:11.996577,9.0,0.0
5220,11179,2005-08-02 10:50:06,5,Elizabeth Brown,Nantou,Taiwan,956,Wanda Chamber,Games,107,1,1,Mike Hillyer,4.99,2007-03-02 09:18:32.996577,1.0,0.0
5221,11930,2005-08-17 16:28:53,5,Elizabeth Brown,Nantou,Taiwan,286,Enough Raging,Travel,158,1,1,Mike Hillyer,3.99,2007-03-17 14:57:19.996577,7.0,15.0
5222,12145,2005-08-18 00:10:04,5,Elizabeth Brown,Nantou,Taiwan,763,Satisfaction Confidential,Sports,75,1,1,Mike Hillyer,9.99,2007-03-17 22:38:30.996577,8.0,0.0
5223,12797,2005-08-19 00:24:08,5,Elizabeth Brown,Nantou,Taiwan,349,Gangs Pride,Animation,185,1,2,Jon Stephens,2.99,2007-03-18 22:52:34.996577,2.0,1.0
5224,13063,2005-08-19 09:45:41,5,Elizabeth Brown,Nantou,Taiwan,266,Dynamite Tarzan,Classics,141,1,2,Jon Stephens,1.99,2007-03-19 08:14:07.996577,4.0,0.0
5225,13877,2005-08-20 15:16:18,5,Elizabeth Brown,Nantou,Taiwan,743,Room Roman,Animation,60,1,1,Mike Hillyer,0.99,2007-03-20 13:44:44.996577,2.0,1.0
5226,14053,2005-08-20 22:13:59,5,Elizabeth Brown,Nantou,Taiwan,470,Ishtar Rocketeer,Animation,79,1,2,Jon Stephens,6.99,2007-03-20 20:42:25.996577,5.0,0.0
5227,14430,2005-08-21 11:31:11,5,Elizabeth Brown,Nantou,Taiwan,575,Midsummer Groundhog,Documentary,48,1,1,Mike Hillyer,6.99,2007-03-21 09:59:37.996577,4.0,0.0
5228,14494,2005-08-21 14:02:50,5,Elizabeth Brown,Nantou,Taiwan,37,Arizona Bang,Classics,121,1,2,Jon Stephens,2.99,2007-03-21 12:31:16.996577,1.0,0.0
5229,15232,2005-08-22 17:37:02,5,Elizabeth Brown,Nantou,Taiwan,12,Alaska Phantom,Music,136,1,1,Mike Hillyer,0.99,2007-03-22 16:05:28.996577,3.0,1.0
1015,1575,2005-06-16 03:41:38,6,Jennifer Davis,Laredo,United States,730,Ridgemont Submarine,New,46,2,2,Jon Stephens,3.99,2007-02-16 02:10:04.996577,5.0,
1016,1841,2005-06-16 23:44:13,6,Jennifer Davis,Laredo,United States,514,Lebowski Soldiers,Drama,69,2,1,Mike Hillyer,2.99,2007-02-16 22:12:39.996577,5.0,0.0
1017,1966,2005-06-17 09:19:45,6,Jennifer Davis,Laredo,United States,452,Illusion Amelie,Foreign,122,2,1,Mike Hillyer,0.99,2007-02-17 07:48:11.996577,3.0,0.0
1018,2345,2005-06-18 12:03:23,6,Jennifer Davis,Laredo,United States,395,Handicap Boondock,Action,108,2,2,Jon Stephens,0.99,2007-02-18 10:31:49.996577,4.0,1.0
11550,3983,2005-07-06 23:14:21,6,Jennifer Davis,Laredo,United States,280,Empire Malkovich,Children,177,2,2,Jon Stephens,0.99,2007-04-06 21:42:47.996577,5.0,18.0
11551,4278,2005-07-07 14:53:24,6,Jennifer Davis,Laredo,United States,807,Sleuth Orient,Games,87,2,2,Jon Stephens,2.99,2007-04-07 13:21:50.996577,5.0,0.0
11552,5553,2005-07-10 03:03:35,6,Jennifer Davis,Laredo,United States,367,Goldmine Tycoon,Sci-Fi,153,2,2,Jon Stephens,0.99,2007-04-10 01:32:01.996577,4.0,2.0
11553,6211,2005-07-11 12:39:01,6,Jennifer Davis,Laredo,United States,592,Monster Spartacus,Music,107,2,2,Jon Stephens,5.99,2007-04-11 11:07:27.996577,9.0,1.0
11554,6248,2005-07-11 15:01:54,6,Jennifer Davis,Laredo,United States,590,Money Harold,New,135,2,1,Mike Hillyer,7.99,2007-04-11 13:30:20.996577,8.0,0.0
